Time.y;nonCondensing.T_Out;nonCondensing.T_Inlet;nonCondensing.Qdot_Environment;nonCondensing.Qdot_in;nonCondensing.Qdot_Delivered;nonCondensing.mdot_water;nonCondensing.T_amb;nonCondensing.ControlConstant
628.568;43.3677;44.4587;251.251;0;-333.915;0.0730434;25.495;0
631.547;43.3974;44.4611;251.653;0;-325.436;0.0730172;25.4783;0
634.526;43.4227;44.47;252.068;0;-320.224;0.0729733;25.4595;0
637.505;43.4445;44.4537;251.896;0;-308.326;0.0729153;25.4821;0
640.484;43.4638;44.44;251.772;0;-298.025;0.0728591;25.4997;0
643.463;43.481;44.4558;251.936;0;-297.398;0.0728115;25.495;0
646.442;43.4968;44.4596;251.748;0;-293.559;0.0727678;25.5158;0
649.421;43.5114;44.4449;251.431;0;-284.455;0.0727282;25.5453;0
652.4;43.5251;44.4552;251.511;0;-283.284;0.0726885;25.5449;0
655.379;43.5379;44.47;251.719;0;-283.734;0.072648;25.535;0
658.358;43.5499;44.47;251.584;0;-279.967;0.0726163;25.5498;0
661.337;43.561;44.47;251.503;0;-276.515;0.0725984;25.5601;0
664.316;43.5712;44.47;251.886;0;-273.387;0.0725933;25.5358;0
667.295;43.5804;44.4606;251.955;0;-267.735;0.0725995;25.5339;0
670.274;43.5886;44.4639;251.705;0;-266.289;0.0726078;25.555;0
673.253;43.5959;44.4754;251.74;0;-267.593;0.0726097;25.555;0
676.232;43.6021;44.47;251.77;0;-264.028;0.0726066;25.555;0
679.211;43.6076;44.47;251.739;0;-262.318;0.0725938;25.5594;0
682.19;43.6122;44.4744;251.691;0;-262.158;0.0725718;25.565;0
685.169;43.6162;44.48;251.774;0;-262.582;0.0725487;25.5607;0
688.148;43.6196;44.4673;252.102;0;-257.59;0.0725207;25.5381;0
691.127;43.6224;44.4625;251.923;0;-255.168;0.0724892;25.5524;0
694.106;43.6248;44.48;251.164;0;-259.642;0.0724562;25.6091;0
697.085;43.6268;44.476;251.371;0;-257.653;0.0724162;25.5949;0
700.064;43.6285;44.4739;251.683;0;-256.35;0.0723638;25.5729;0
703.043;43.63;44.48;251.737;0;-257.516;0.0723023;25.5695;0
706.022;43.6312;44.4762;252.179;0;-255.75;0.0722346;25.5374;0
709.001;43.6322;44.4625;252.349;0;-251.098;0.0721729;25.525;0
711.98;43.6332;44.461;252.102;0;-250.166;0.0721285;25.5433;0
714.959;43.6342;44.4764;251.476;0;-254.416;0.0720959;25.5894;0
717.938;43.635;44.4629;251.226;0;-250.047;0.0720762;25.6079;0
720.917;43.6356;44.4569;251.455;0;-248.02;0.0720677;25.5915;0
723.896;43.6361;44.4734;251.688;0;-252.816;0.0720672;25.5748;0
726.875;43.6367;44.48;252.1;0;-254.697;0.072078;25.545;0
729.854;43.6371;44.48;252.202;0;-254.662;0.072106;25.538;0
732.833;43.6375;44.48;251.883;0;-254.68;0.072149;25.5618;0
735.812;43.6379;44.48;251.845;0;-254.743;0.0722019;25.5643;0
738.791;43.6383;44.4678;251.638;0;-251.132;0.0722545;25.5789;0
741.77;43.6387;44.4548;251.82;0;-247.225;0.0722991;25.565;0
744.749;43.6391;44.4755;251.734;0;-253.499;0.0723356;25.5708;0
747.728;43.6394;44.4174;251.522;0;-235.886;0.0723631;25.585;0
750.707;43.6396;44.3793;251.574;0;-224.33;0.0723812;25.5795;0
753.686;43.6398;44.4408;251.789;0;-242.948;0.0723945;25.5623;0
756.665;43.6399;44.4726;251.892;0;-252.62;0.0724029;25.555;0
759.644;43.6399;44.48;251.897;0;-254.881;0.0724065;25.555;0
762.623;43.6398;44.4527;251.921;0;-246.64;0.0724057;25.5525;0
765.602;43.6396;44.3869;251.943;0;-226.699;0.0724017;25.5474;0
768.581;43.6392;44.4096;251.789;0;-233.699;0.0723945;25.5527;0
771.56;43.6387;44.3191;251.808;0;-206.353;0.072384;25.545;0
774.539;43.638;44.3632;251.739;0;-219.883;0.0723692;25.545;0
777.518;43.6372;44.4143;251.673;0;-235.546;0.0723482;25.5471;0
780.497;43.6362;44.4321;251.568;0;-241.181;0.0723265;25.5529;0
783.476;43.6349;44.4261;251.702;0;-239.687;0.0723012;25.541;0
786.455;43.6332;44.393;251.634;0;-230.073;0.0722714;25.5423;0
789.434;43.6314;44.4918;250.66;0;-260.435;0.0722375;25.6132;0
792.413;43.6292;44.4893;250.886;0;-260.177;0.0721955;25.5979;0
795.392;43.6266;44.4502;251.151;0;-248.972;0.0721461;25.5787;0
798.371;43.6236;44.4885;250.324;0;-261.262;0.0720918;25.6401;0
801.35;43.6203;44.4316;250.66;0;-244.862;0.0720327;25.615;0
804.329;43.6167;44.4325;250.73;0;-246.011;0.0719715;25.609;0
807.308;43.6131;44.38;251.038;0;-231.103;0.0719222;25.5836;0
810.287;43.6097;44.3186;250.376;0;-213.508;0.0718794;25.6269;0
813.266;43.6066;44.31;250.909;0;-211.741;0.0718434;25.5814;0
816.245;43.604;44.31;250.213;0;-212.443;0.0718156;25.6262;0
