#1

double tab1(1661,2)
2937	58.99
2940	59.11
2943	59.16
2945.995	59.16
2948.995	59.26
2952	59.34
2955	59.27
2958	59.18
2961	59.03
2964	59.03
2966.87	58.95
2970	58.88
2973	58.91
2976	58.96
2979	59.17
2982	59.34
2985	59.45
2988	59.51
2991	59.33
2994	59.18
2997	59.03
3000	58.88
3003	58.73
3005.995	58.72
3008.995	58.75
3012	59
3015	59.22
3018	59.37
3021	59.51
3024	59.68
3027	59.61
3030	59.52
3033	59.36
3036	59.37
3039	59.2
3042	59.12
3045	59.05
3048	59.17
3051	59.24
3054	59.28
3057	59.37
3060	59.37
3063	59.22
3065.995	59.06
3068.995	59.07
3072	58.99
3075	58.9
3078	59
3081	59.07
3084	59.23
3087	59.43
3090	59.54
3093	59.51
3096	59.39
3099	59.22
3102	59.21
3105	59.07
3108	58.9
3111	58.76
3114	58.77
3117	58.9
3120	59.18
3123	59.2
3125.995	59.41
3128.995	59.57
3132	59.55
3134.87	59.53
3137.87	59.39
3141	59.22
3144	58.98
3147	58.77
3150	58.81
3153	58.83
3156	58.93
3159	58.96
3162	59.16
3164.87	59.4
3168	59.53
3171	59.45
3173.87	59.3
3177	59.11
3179.87	59.04
3183	58.9
3185.995	58.79
3188.995	58.72
3192	58.78
3195	59.06
3198	59.32
3201	59.42
3204	59.52
3207	59.44
3210	58.8
3212.87	55.81
3216	50.66
3219	43.92
3222	36.96
3225	30.8
3228	26.23
3231	22.94
3234	20.16
3237	18.16
3240	16.52
3243	15.29
3245.995	14.33
3248.995	13.67
3251.87	13.09
3254.87	12.67
3258	12.27
3260.87	11.99
3264	11.65
3267	11.44
3270	11.33
3273	11.23
3276	11.15
3279	10.98
3282	11.01
3285	10.96
3288	10.82
3291	10.81
3294	10.74
3297	10.66
3300	10.66
3303	10.64
3305.995	10.64
3308.995	10.64
3312	10.57
3315	10.49
3318	10.5
3321	10.46
3324	10.48
3327	10.44
3330	10.46
3333	10.48
3336	10.46
3339	10.39
3342	10.34
3345	10.31
3348	10.29
3351	10.28
3354	10.32
3357	10.31
3360	10.35
3363	10.35
3365.995	10.29
3368.995	10.31
3372	10.29
3375	10.29
3378	10.31
3381	10.32
3384	10.33
3387	10.32
3390	10.22
3393	10.29
3396	10.33
3399	10.28
3402	10.32
3405	10.22
3408	10.23
3411	10.29
3414	10.23
3417	10.21
3420	10.22
3423	10.17
3425.995	10.19
3428.87	10.19
3431.87	10.15
3435	10.18
3438	10.15
3441	10.14
3444	10.15
3447	10.15
3450	10.13
3453	10.17
3456	10.14
3459	10.17
3462	10.15
3465	10.17
3468	10.15
3471	10.1
3474	10.14
3477	10.17
3480	10.14
3483	10.15
3485.995	10.15
3488.995	10.15
3492	10.14
3495	10.18
3498	10.17
3501	10.17
3504	10.19
3507	10.14
3510	10.11
3513	10.18
3516	10.17
3519	10.17
3522	10.23
3525	10.22
3528	10.22
3531	10.13
3534	10.19
3537	10.17
3540	10.18
3543	10.15
3545.995	10.23
3548.995	10.17
3552	10.17
3555	10.21
3558	10.18
3561	10.17
3564	10.14
3567	10.17
3570	10.15
3573	10.18
3576	10.15
3579	10.21
3582	10.17
3585	10.21
3588	10.18
3591	10.19
3594	10.21
3597	10.15
3600	10.15
3603	10.17
3605.995	10.18
3608.995	10.15
3612	10.17
3615	10.15
3618	10.17
3620.87	10.17
3624	10.15
3627	10.21
3630	10.14
3633	10.21
3636	10.17
3639	10.15
3642	10.17
3645	10.17
3648	10.17
3651	10.21
3654	10.21
3657	10.19
3659.87	10.22
3663	10.22
3665.995	10.23
3668.87	10.22
3672	10.17
3675	10.14
3678	10.27
3681	10.24
3684	10.17
3687	10.24
3690	10.31
3693	10.23
3696	10.22
3699	10.15
3702	10.22
3705	10.22
3708	10.22
3711	10.24
3714	10.24
3717	10.19
3720	10.23
3723	10.24
3725.995	10.21
3728.995	10.24
3732	10.22
3735	10.27
3738	10.3
3741	10.23
3744	10.21
3747	10.27
3750	10.22
3753	10.22
3756	10.21
3759	10.21
3762	10.18
3765	10.17
3768	10.36
3771	13.2
3774	18.96
3777	26.26
3780	33.67
3783	40.21
3785.995	45.56
3788.995	49.9
3792	53.05
3795	55.11
3798	56.37
3801	57.47
3804	58.21
3807	58.99
3810	59.72
3813	60.4
3816	60.92
3819	61.3
3822	61.53
3825	61.58
3828	61.56
3831	61.58
3834	61.5
3837	61.31
3840	61.15
3843	60.97
3845.995	60.79
3848.995	60.58
3852	60.24
3855	59.87
3858	59.7
3861	59.56
3864	59.28
3867	59.1
3870	58.98
3873	58.79
3876	58.73
3879	58.62
3882	58.61
3885	58.65
3888	58.76
3891	58.87
3894	58.89
3897	58.91
3900	58.85
3903	58.77
3905.995	58.73
3908.995	58.61
3912	58.46
3915	58.31
3918	58.44
3921	58.44
3924	58.56
3927	58.65
3930	58.73
3933	58.89
3936	58.82
3939	59.02
3942	59.04
3945	58.94
3948	58.85
3951	58.84
3954	58.88
3957	58.84
3960	58.78
3963	58.84
3965.995	58.95
3968.995	59.07
3971.87	59.25
3975	59.3
3978	59.18
3981	59.07
3984	59.01
3987	59.03
3990	59.01
3993	58.85
3996	58.88
3999	59
4002	59.04
4005	59.14
4008	59.21
4011	59.23
4014	59.21
4017	59.21
4020	59.21
4023	59.21
4025.995	59.1
4028.995	59.04
4032	59.07
4035	59.2
4038	59.21
4041	59.18
4044	59.2
4047	59.2
4050	59.31
4053	59.4
4056	59.2
4059	58.98
4062	58.87
4065	58.87
4068	58.87
4071	58.91
4074	59.05
4077	58.97
4080	59.21
4083	59.37
4085.995	59.47
4088.995	59.5
4092	59.37
4095	59.22
4098	59
4101	58.93
4104	58.78
4107	58.76
4110	58.81
4113	58.91
4116	59.01
4119	59.23
4122	59.18
4125	59.28
4128	59.13
4131	58.95
4134	58.9
4137	58.8
4140	58.81
4143	58.75
4145.995	58.94
4148.995	59.11
4152	59.05
4155	59.15
4158	59.25
4161	59.22
4164	59.14
4167	59.09
4170	59.07
4173	59.09
4175.87	59.09
4179	59.18
4182	59.25
4185	59.22
4188	59.34
4191	59.38
4194	59.37
4197	59.38
4200	59.38
4203	59.23
4205.995	59.13
4208.995	59.05
4211.87	58.87
4215	58.89
4218	59
4221	59.02
4224	59.04
4227	59.1
4230	59.22
4233	59.19
4236	59.22
4239	59.21
4242	59.23
4245	59.18
4248	59.19
4251	59.04
4254	59.14
4257	59.08
4260	59.2
4262.87	59.25
4265.995	59.26
4268.995	59.41
4272	59.37
4275	59.43
4278	59.37
4281	59.24
4284	59.17
4287	59
4290	58.94
4293	58.8
4296	58.81
4299	58.84
4302	58.94
4305	59.1
4308	59.13
4311	59.24
