time	GasIn	Tout
1183	6845.37	310.91
1184	6845.37	310.91
1185	6277.82	310.91
1186	7030.45	310.95
1187	6907.06	310.91
1188	6721.99	310.95
1189	6721.99	310.96
1190	6783.68	310.97
1191	6660.3	310.96
1192	6907.06	310.94
1193	6783.68	310.92
1195	6968.76	310.87
1196	6783.68	310.96
1197	6721.99	310.92
1198	6845.37	310.91
1199	6845.37	310.91
1200	6845.37	310.97
1201	6783.68	310.94
1202	6721.99	310.89
1203	6586.27	310.9
1204	6783.68	310.99
1205	6845.37	310.89
1206	6907.06	310.93
1207	6783.68	310.92
1208	6845.37	310.92
1209	6845.37	310.97
1210	6721.99	310.97
1211	6660.3	310.93
1212	6660.3	310.94
1213	6907.06	310.94
1214	6586.27	310.97
1215	6907.06	310.96
1216	6783.68	310.96
1217	6907.06	310.96
1218	6845.37	310.96
1220	6783.68	310.95
1221	6845.37	310.98
1222	6845.37	310.95
1223	6783.68	310.95
1224	6907.06	310.94
1225	6907.06	310.91
1226	6845.37	310.99
1227	6907.06	310.92
1228	6783.68	310.96
1229	6783.68	310.95
1230	6721.99	310.94
1231	6968.76	310.89
1232	6783.68	310.97
1233	6660.3	310.94
1234	6783.68	310.94
1235	6845.37	310.94
1236	6721.99	310.97
1237	6524.58	310.9
1238	6721.99	310.9
1239	6277.82	310.88
1240	6783.68	310.91
1241	6462.89	310.89
1242	6783.68	310.93
1244	6783.68	310.92
1245	6845.37	310.9
1246	6845.37	310.92
1247	6907.06	310.86
1248	6907.06	310.89
1249	6721.99	310.9
1250	6845.37	310.92
1251	6783.68	310.86
1252	6783.68	310.91
1253	6907.06	310.9
1254	6783.68	310.91
1255	6783.68	310.91
1256	6783.68	310.97
1257	6845.37	310.89
1258	6968.76	310.95
1259	6968.76	310.98
1260	7610.34	311
1261	6783.68	310.94
1262	6783.68	311.01
1263	6660.3	310.97
1264	6783.68	311.01
1265	6660.3	310.99
1266	6721.99	310.99
1267	6660.3	310.97
1269	6524.58	310.94
1270	7166.17	310.96
1271	6660.3	310.96
1272	6586.27	310.96
1273	6783.68	310.95
1274	6721.99	310.96
1275	6845.37	310.89
1276	6660.3	310.98
1277	6783.68	310.93
1278	6783.68	310.94
1279	6845.37	310.92
1280	6721.99	310.91
1281	6721.99	310.91
1282	6721.99	310.94
1283	6907.06	310.89
1284	6783.68	310.93
1285	6586.27	310.95
1286	6524.58	310.92
1287	6721.99	310.99
1288	6660.3	310.93
1289	6660.3	310.94
1290	6660.3	310.93
1291	6721.99	310.92
1292	6660.3	310.91
1294	6721.99	310.88
1295	6907.06	310.9
1296	6277.82	310.95
1297	6783.68	310.9
1298	6783.68	310.92
1299	6845.37	310.93
1300	6845.37	310.91
1301	6783.68	310.92
1302	6660.3	310.91
1303	6721.99	310.92
1304	7289.55	310.91
1305	6660.3	310.93
1306	6721.99	310.88
1307	6783.68	310.93
1308	6586.27	310.93
1309	6660.3	310.92
1310	6721.99	310.94
1311	6907.06	310.89
1312	6783.68	310.94
1313	6721.99	310.92
1314	6524.58	310.93
1315	6660.3	310.9
1316	6462.89	310.9
1318	6524.58	310.86
1319	7474.62	310.95
1320	6401.2	310.87
1321	6721.99	310.91
1322	6660.3	310.89
1323	6721.99	310.96
1324	6660.3	310.92
1325	6586.27	310.98
1326	6721.99	310.95
1327	6660.3	310.97
1328	6783.68	310.95
1329	6586.27	310.91
1330	6845.37	310.96
1331	6586.27	310.97
1332	6721.99	310.94
1333	6462.89	311.02
1334	6660.3	310.95
1335	6660.3	310.92
1336	6783.68	310.93
1337	6721.99	310.96
1338	6660.3	310.95
1339	6524.58	310.94
1340	6586.27	310.94
1341	6721.99	310.97
1343	6524.58	310.93
1344	6907.06	310.96
1345	7351.24	310.92
1346	6586.27	310.92
1347	6783.68	310.96
1348	6524.58	310.95
1349	6721.99	310.91
1350	6660.3	310.9
1351	6660.3	310.89
1352	6721.99	310.9
1353	6660.3	310.91
1354	7030.45	310.9
1355	6968.76	310.88
1356	6907.06	310.91
1357	6968.76	310.92
1358	6524.58	310.89
1359	6783.68	310.97
1360	6660.3	310.89
1361	6586.27	310.9
1362	6845.37	310.9
1363	6586.27	310.92
1364	6783.68	310.92
1365	6968.76	310.94
1366	6968.76	310.95
1368	6783.68	310.94
1369	6783.68	310.93
1370	6660.3	310.97
1371	6401.2	310.98
1372	6721.99	310.96
1373	6783.68	310.9
1374	6721.99	310.95
1375	6660.3	310.92
1376	6783.68	310.93
1377	6783.68	310.96
1378	6660.3	310.95
1379	6907.06	310.97
1380	6721.99	310.94
1381	6660.3	310.96
1382	6721.99	310.94
1383	6721.99	310.94
1384	6401.2	310.97
1385	6783.68	311
1386	6721.99	310.96
1387	6721.99	310.98
1388	7030.45	310.96
1389	6907.06	310.93
1390	6721.99	310.92
1392	6586.27	310.98
1393	6845.37	310.89
1394	6660.3	310.93
1395	6721.99	310.91
1396	6721.99	310.86
1397	6721.99	310.91
1398	6586.27	310.88
1399	6462.89	310.89
1400	6845.37	310.95
1401	7030.45	310.88
1402	6660.3	310.87
1403	6660.3	310.89
1404	6783.68	310.92
1405	6783.68	310.87
1406	6524.58	310.87
1407	6660.3	310.93
1408	6339.51	310.85
1409	6339.51	310.85
1410	6524.58	310.85
1411	6660.3	310.94
1412	6586.27	310.88
1413	6721.99	310.88
1414	6721.99	310.87
1415	7351.24	310.91
1417	6462.89	310.93
1418	6586.27	310.92
1419	6783.68	310.86
1420	6660.3	310.89
1421	6721.99	310.9
1422	6783.68	310.88
1423	6721.99	310.91
1424	6660.3	310.96
1425	5451.15	310.92
1426	6968.76	310.95
1427	6660.3	310.89
1428	6586.27	310.92
1429	6783.68	310.95
1430	6907.06	310.92
1431	6142.09	310.94
1432	6586.27	310.91
1433	6586.27	310.9
1434	6660.3	310.91
1435	6524.58	310.89
1436	6721.99	310.89
1437	6660.3	310.91
1438	6586.27	310.88
1439	7030.45	310.88
1441	6907.06	310.9
1442	7227.86	310.94
1443	6783.68	310.91
1444	6721.99	310.89
1445	6721.99	310.89
1446	6721.99	310.94
1447	6586.27	310.89
1448	6660.3	310.93
1449	6783.68	310.93
1450	6660.3	310.93
1451	6721.99	310.92
1452	6586.27	310.92
1453	6845.37	310.92
1454	6018.71	310.92
1455	6586.27	310.93
1456	6660.3	310.95
1457	6783.68	310.92
1458	6721.99	310.96
1459	6783.68	310.94
1460	6721.99	310.93
1461	6721.99	310.9
1462	6660.3	310.9
1463	6660.3	310.96
1464	6660.3	310.89
1466	6783.68	310.87
1467	6660.3	310.93
1468	6524.58	310.93
1469	6845.37	310.91
1470	6721.99	310.9
1471	6660.3	310.93
1472	6721.99	310.96
1473	6339.51	310.92
1474	6783.68	310.91
1475	6783.68	310.9
1476	6339.51	310.93
1477	7227.86	310.85
1478	6660.3	310.89
1479	6660.3	310.88
1480	6721.99	310.93
1481	6586.27	310.89
1482	6721.99	310.87
1483	6586.27	310.91
1484	6524.58	310.9
1485	6401.2	310.92
1486	7474.62	310.91
1487	6845.37	310.92
1488	6783.68	310.93
1489	6783.68	310.9
1491	6660.3	310.98
1492	6721.99	310.89
1493	6660.3	310.95
1494	6660.3	310.91
1495	6524.58	310.94
1496	6845.37	310.97
1497	5833.64	310.94
1498	6660.3	310.94
1499	6660.3	310.95
1500	6721.99	310.94
1501	6660.3	310.98
1502	7166.17	310.96
1503	6660.3	310.97
1504	6721.99	310.96
1505	6660.3	311
1506	6586.27	310.95
1507	6783.68	310.93
1508	6401.2	310.94
1509	6721.99	310.93
1510	7733.73	310.88
1511	6660.3	310.9
1512	6586.27	310.92
1513	6783.68	310.9
1515	6586.27	310.94
1516	6660.3	310.93
1517	6524.58	310.94
1518	6586.27	310.92
1519	6524.58	310.92
1520	6586.27	310.9
1521	6721.99	310.92
1522	6586.27	310.89
1523	6277.82	310.88
1524	6524.58	310.87
1525	6907.06	310.89
1526	6462.89	310.93
1527	6586.27	310.94
1528	6660.3	310.88
1529	6845.37	310.87
1530	6721.99	310.91
1531	6401.2	310.89
1532	6783.68	310.91
1533	6660.3	310.9
1534	6721.99	310.87
1535	6586.27	310.87
1536	6845.37	310.86
1537	6721.99	310.9
1538	6660.3	310.91
1540	6721.99	310.9
1541	6783.68	310.91
1542	6783.68	310.92
