Time,realToInteger.u,realToInteger.y,pump.TStatSig,pump.RecircFlow,pump.CircFlow,pump.QElePum,pump.QPum
34.56,0.237413,0,0,0.12,0,50,0
34.68,0.304313,0,0,0.12,0,50,0
34.8,0.375655,0,0,0.12,0,50,0
34.92,0.449819,0,0,0.12,0,50,0
35,0.5,0,0,0.12,0,50,0
35,0.5,1,1,0.12,0.12,50,50
35.04,0.525122,1,1,0.12,0.12,50,50
35.16,0.599855,1,1,0.12,0.12,50,50
35.28,0.672321,1,1,0.12,0.12,50,50
35.4,0.740877,1,1,0.12,0.12,50,50
35.52,0.803965,1,1,0.12,0.12,50,50
35.64,0.860155,1,1,0.12,0.12,50,50
35.76,0.90817,1,1,0.12,0.12,50,50
35.88,0.946921,1,1,0.12,0.12,50,50
36,0.975528,1,1,0.12,0.12,50,50
36.12,0.993343,1,1,0.12,0.12,50,50
36.24,0.999961,1,1,0.12,0.12,50,50
36.36,0.995231,1,1,0.12,0.12,50,50
36.48,0.979261,1,1,0.12,0.12,50,50
36.6,0.952413,1,1,0.12,0.12,50,50
36.72,0.915298,1,1,0.12,0.12,50,50
36.84,0.868757,1,1,0.12,0.12,50,50
36.96,0.813846,1,1,0.12,0.12,50,50
37.08,0.751812,1,1,0.12,0.12,50,50
37.2,0.684062,1,1,0.12,0.12,50,50
37.32,0.612135,1,1,0.12,0.12,50,50
37.44,0.537663,1,1,0.12,0.12,50,50
37.5,0.5,1,1,0.12,0.12,50,50
37.5,0.5,0,0,0.12,0,50,0
37.56,0.462337,0,0,0.12,0,50,0
37.68,0.387865,0,0,0.12,0,50,0
37.8,0.315938,0,0,0.12,0,50,0
37.92,0.248188,0,0,0.12,0,50,0
38.04,0.186154,0,0,0.12,0,50,0
38.16,0.131243,0,0,0.12,0,50,0
38.28,0.0847021,0,0,0.12,0,50,0
38.4,0.0475865,0,0,0.12,0,50,0
38.52,0.0207391,0,0,0.12,0,50,0
38.64,0.00476929,0,0,0.12,0,50,0
38.76,3.94779e-005,0,0,0.12,0,50,0
38.88,0.00665703,0,0,0.12,0,50,0
39,0.0244717,0,0,0.12,0,50,0
39.12,0.0530793,0,0,0.12,0,50,0
39.24,0.0918304,0,0,0.12,0,50,0
39.36,0.139845,0,0,0.12,0,50,0
39.48,0.196035,0,0,0.12,0,50,0
39.6,0.259123,0,0,0.12,0,50,0
39.72,0.327679,0,0,0.12,0,50,0
39.84,0.400145,0,0,0.12,0,50,0
39.96,0.474878,0,0,0.12,0,50,0
40,0.5,0,0,0.12,0,50,0
40,0.5,1,1,0.12,0.12,50,50
40.08,0.550181,1,1,0.12,0.12,50,50
40.2,0.624345,1,1,0.12,0.12,50,50
40.32,0.695687,1,1,0.12,0.12,50,50
40.44,0.762587,1,1,0.12,0.12,50,50
40.56,0.823528,1,1,0.12,0.12,50,50
40.68,0.877126,1,1,0.12,0.12,50,50
40.8,0.922164,1,1,0.12,0.12,50,50
40.92,0.957621,1,1,0.12,0.12,50,50
41.04,0.982691,1,1,0.12,0.12,50,50
41.16,0.996806,1,1,0.12,0.12,50,50
41.28,0.999645,1,1,0.12,0.12,50,50
41.4,0.991144,1,1,0.12,0.12,50,50
41.52,0.971495,1,1,0.12,0.12,50,50
41.64,0.941146,1,1,0.12,0.12,50,50
41.76,0.900783,1,1,0.12,0.12,50,50
41.88,0.851325,1,1,0.12,0.12,50,50
42,0.793893,1,1,0.12,0.12,50,50
42.12,0.72979,1,1,0.12,0.12,50,50
42.24,0.660472,1,1,0.12,0.12,50,50
42.36,0.587512,1,1,0.12,0.12,50,50
42.48,0.512565,1,1,0.12,0.12,50,50
42.5,0.5,1,1,0.12,0.12,50,50
42.5,0.5,0,0,0.12,0,50,0
42.6,0.437333,0,0,0.12,0,50,0
42.72,0.363524,0,0,0.12,0,50,0
42.84,0.292812,0,0,0.12,0,50,0
42.96,0.226803,0,0,0.12,0,50,0
43.08,0.166994,0,0,0.12,0,50,0
43.2,0.114743,0,0,0.12,0,50,0
43.32,0.0712367,0,0,0.12,0,50,0
43.44,0.0374614,0,0,0.12,0,50,0
