Time,cirHeaTra1.TRec,cirHeaTra1.TWat[1],cirHeaTra1.mFloCir,cirHeaTra1.cirHeaTra[1],cirHeaTra1.c_p,cirHeaTra1.nSeg
574,16.5485,52,0.12,-2225.35,4184.78,8
576,16.2126,52,0.12,-2246.44,4184.78,8
578,15.8789,52,0.12,-2267.38,4184.78,8
580,15.5474,52,0.12,-2288.19,4184.78,8
582,15.2182,52,0.12,-2308.86,4184.78,8
584,14.8913,52,0.12,-2329.38,4184.78,8
586,14.5668,52,0.12,-2349.74,4184.78,8
588,14.2448,52,0.12,-2369.96,4184.78,8
590,13.9252,52,0.12,-2390.02,4184.78,8
592,13.6082,52,0.12,-2409.92,4184.78,8
594,13.2937,52,0.12,-2429.66,4184.78,8
596,12.9819,52,0.12,-2449.23,4184.78,8
598,12.6728,52,0.12,-2468.63,4184.78,8
600,12.3664,52,0.12,-2487.87,4184.78,8
602,12.0629,52,0.12,-2506.92,4184.78,8
604,11.7621,52,0.12,-2525.8,4184.78,8
606,11.4642,52,0.12,-2544.5,4184.78,8
608,11.1693,52,0.12,-2563.02,4184.78,8
610,10.8773,52,0.12,-2581.34,4184.78,8
612,10.5883,52,0.12,-2599.48,4184.78,8
614,10.3024,52,0.12,-2617.43,4184.78,8
616,10.0196,52,0.12,-2635.18,4184.78,8
618,9.74002,52,0.12,-2652.73,4184.78,8
620,9.46359,52,0.12,-2670.08,4184.78,8
622,9.1904,52,0.12,-2687.23,4184.78,8
624,8.9205,52,0.12,-2704.17,4184.78,8
626,8.65393,52,0.12,-2720.91,4184.78,8
628,8.39073,52,0.12,-2737.43,4184.78,8
630,8.13094,52,0.12,-2753.74,4184.78,8
632,7.87461,52,0.12,-2769.83,4184.78,8
634,7.62177,52,0.12,-2785.7,4184.78,8
636,7.37246,52,0.12,-2801.35,4184.78,8
638,7.12672,52,0.12,-2816.77,4184.78,8
640,6.8846,52,0.12,-2831.97,4184.78,8
642,6.64613,52,0.12,-2846.94,4184.78,8
644,6.41135,52,0.12,-2861.68,4184.78,8
646,6.18029,52,0.12,-2876.18,4184.78,8
648,5.95299,52,0.12,-2890.45,4184.78,8
650,5.72949,52,0.12,-2904.48,4184.78,8
652,5.50982,52,0.12,-2918.27,4184.78,8
654,5.29402,52,0.12,-2931.81,4184.78,8
656,5.08212,52,0.12,-2945.11,4184.78,8
658,4.87416,52,0.12,-2958.17,4184.78,8
660,4.67016,52,0.12,-2970.97,4184.78,8
662,4.47017,52,0.12,-2983.53,4184.78,8
664,4.2742,52,0.12,-2995.83,4184.78,8
