Time	T_F,Entrance	T_F,Exit	T_Nodes	sum(dT_Nodes)
1680.552	79.63427778	63.07394444	1325.089389	12.98061111
1685.562	79.50972222	62.88716667	1325.089444	12.98055556
1690.632	79.16733333	62.79377778	1325.120556	12.94944444
1695.738	79.01166667	62.70038889	1325.182833	13.01161111
1700.766	78.7315	62.57588889	1325.151722	12.91827778
1705.782	78.63811111	62.42022222	1325.120611	12.94938889
1710.786	78.51361111	62.29572222	1325.120611	12.94938889
1715.814	78.358	62.17122222	1325.213944	12.9805
1720.83	78.20233333	62.04672222	1325.213944	12.9805
1725.852	77.82883333	61.89105556	1325.182833	12.88716667
1730.856	77.64205556	61.82883333	1325.213944	12.85605556
1735.866	77.5175	61.70427778	1325.213944	12.85605556
1740.882	77.5175	61.61088889	1325.151722	13.04272222
1745.886	77.393	61.5175	1325.245111	12.94933333
1750.896	77.05055556	61.42411111	1325.182833	12.88716667
1755.912	77.11283333	61.29961111	1325.151722	12.79383333
1760.922	76.83266667	61.23733333	1325.151722	12.79383333
1765.926	76.80155556	61.14394444	1325.151722	12.91827778
1770.936	76.64588889	61.01944444	1325.151722	12.79383333
1775.952	76.45916667	60.98833333	1325.151722	12.79383333
1780.956	76.3035	60.83266667	1325.245111	12.94933333
1785.462	76.24127778	60.80155556	1325.214	12.856
1790.484	76.08561111	60.67705556	1325.214	12.73155556
1795.488	75.86772222	60.58366667	1325.245167	12.70038889
1800.498	75.68094444	60.49027778	1325.245167	12.70038889
1805.502	75.61866667	60.428	1325.245167	12.70038889
1810.524	75.40077778	60.33466667	1325.151722	12.66916667
1815.528	75.214	60.24127778	1325.151722	12.66916667
1820.538	75.12061111	60.11672222	1325.182889	12.76266667
1825.554	75.12061111	60.0545	1325.245167	12.70038889
1830.558	75.18288889	59.99222222	1325.214	12.73155556
1835.568	75.02722222	59.89883333	1325.276222	13.16733333
1840.752	74.84044444	59.83661111	1325.182833	12.88716667
1845.762	74.68483333	59.77433333	1325.151722	12.79383333
1850.778	74.46694444	59.68094444	1325.151722	12.79383333
1855.788	74.43577778	59.64977778	1325.182833	12.88716667
1860.792	74.37355556	59.61866667	1325.276222	12.91822222
1865.808	74.28016667	59.55638889	1325.245111	12.82488889
1870.818	74.24905556	59.463	1325.307333	12.76266667
1875.828	74.03111111	59.43188889	1325.276222	12.91822222
1880.844	74.06227778	59.36966667	1325.276222	12.91822222
1885.848	73.90661111	59.30738889	1325.307333	12.88711111
1890.9	73.81322222	59.24511111	1325.214	12.73155556
1895.904	73.71983333	59.214	1325.276222	12.79377778
1900.914	73.68872222	59.15172222	1325.307333	12.76266667
1905.918	73.50194444	59.0895	1325.276222	12.79377778
1910.934	73.43966667	59.05838889	1325.276222	12.79377778
1915.944	73.09727778	58.90272222	1325.245111	12.70044444
